image_id,category,num_dominant_colors,color_entropy,hue_mean,saturation_mean,saturation_std,value_mean,value_std,lightness_contrast,hue_contrast,warm_color_ratio,color_harmony,edge_density,edge_orientation_entropy,glcm_contrast,glcm_energy,glcm_homogeneity,glcm_correlation,gray_mean,gray_std,gradient_energy,gray_entropy,symmetry,rule_of_thirds,center_offset_x,center_offset_y,whitespace_ratio,fg_bg_ratio,diagonal_energy_ratio,text_coverage,text_block_count,font_size_cv,has_text,saliency_mean,saliency_std,num_salient_regions,saliency_entropy,num_saliency_peaks,saliency_coverage
X_opencv_S107_R035,internal_opencv,2,0.3255121003910618,1.5441055297851562,11.318683624267578,39.44172715211037,222.33730697631836,33.29802392504776,37.21692251552891,0.14814814814814814,1.0,0.8333333333333334,0.0090789794921875,2.01203175902433,5.245966664969259,0.9152674645009915,0.9849697092250475,0.9722322313414874,220.7417221069336,38.802251966591825,9.685327605301268,0.3514834940433502,0.9028527487142955,0.8540589206916975,-0.027747894862666267,-0.05583030842709025,0.6835708618164062,0.3671913146972656,1.0764957680454528,0.0090789794921875,8,0.7772224397173528,1,0.15228626132011414,0.18481817841529846,2,11.82177734375,89,0.15752792358398438
X_opencv_S107_R036,internal_opencv,2,0.45641278547967373,2.029632568359375,15.295570373535156,47.71308505029916,213.2744598388672,56.7777266191079,59.88136326476978,0.14814814814814814,1.0,0.8888888888888888,0.009738922119140625,2.0208227416608997,10.230763883021432,0.8936452646930068,0.9836556886819805,0.9766474358286039,212.5562515258789,58.91136444360413,13.926416545122247,0.5577043890953064,0.8311951006464162,0.8895147694664027,-0.13231667241380374,-0.09406739058074065,0.654815673828125,0.361114501953125,0.8576267812947879,0.009738922119140625,8,0.7777197760390535,1,0.17983366549015045,0.21796320378780365,7,11.803306579589844,94,0.15676498413085938
X_opencv_S107_R037,internal_opencv,1,0.41484106331154746,1.6526870727539062,12.01822280883789,40.51342654251322,230.52921676635742,5.017734444329014,15.181292157430605,0.1851851851851852,0.9942359924316406,0.8888888888888888,0.009365081787109375,2.0151312385345985,1.064047482117964,0.908999282794283,0.9855694684154315,0.9724164817395451,227.1990089416504,17.096973613442543,4.141009421931402,0.5559840202331543,0.8825832969929568,0.8786445711586655,-0.09255852180321889,0.0887017511392425,0.6508102416992188,0.2968864440917969,0.8583538009993141,0.009365081787109375,8,1.019355503535111,1,0.07362303882837296,0.11236216127872467,9,11.718013763427734,105,0.10598373413085938
X_opencv_S107_R038,internal_opencv,1,0.6223494249512997,6.28387451171875,20.181507110595703,57.74332798022673,225.26044082641602,20.269426415909958,27.121214489948237,0.3703703703703704,0.9201736450195312,0.8888888888888888,0.010223388671875,2.02794301779906,2.4513279740582457,0.8758492372348107,0.9836455507133114,0.9812001236449316,220.95814514160156,31.578575271861357,6.729447646780438,0.7048734426498413,0.854401392468382,0.9392799431579615,-0.23103142891033734,-0.1953850721096434,0.6494903564453125,0.3194847106933594,0.7658878514495189,0.010223388671875,8,0.8195424003025653,1,0.12425212562084198,0.1712440550327301,10,11.713831901550293,95,0.1402740478515625
X_opencv_S107_R039,internal_opencv,1,0.5490444450644903,8.655467987060547,13.41525650024414,43.72448533272307,225.00167083740234,22.669190746966795,32.624157379962895,0.40740740740740744,0.9498748779296875,0.8888888888888888,0.009521484375,2.02048985307073,4.170526659276257,0.9020718768282996,0.9841513750441754,0.973859044061342,221.10911178588867,35.2832483758223,8.706152003695486,0.5883305072784424,0.8667196561707561,0.8682072300353458,-0.10087198942523967,-0.04192915129722852,0.649993896484375,0.36298370361328125,0.8358037065370867,0.009521484375,8,0.9509724352156259,1,0.16290265321731567,0.1948900669813156,5,11.829228401184082,97,0.16313934326171875
X_opencv_S107_R040,internal_opencv,2,0.3976543759613783,1.6686058044433594,13.030387878417969,43.05761690754635,215.52386474609375,53.14357351034535,56.20465941239329,0.14814814814814814,1.0,0.8333333333333334,0.00954437255859375,2.019265472240725,9.838240091070093,0.9042764116837729,0.9838126292846123,0.9744763367837375,214.80570220947266,55.43540995846102,13.548882510785196,0.42127859592437744,0.8201468211961965,0.8692607718899271,-0.11764400449706336,-0.03296675802785998,0.6616439819335938,0.3431663513183594,1.2742125531427972,0.00954437255859375,8,0.8862596005824664,1,0.15852682292461395,0.20195552706718445,6,11.775697708129883,69,0.15409469604492188
X_opencv_S107_R041,internal_opencv,1,0.34436969574713866,1.4428176879882812,10.975868225097656,38.53323858309698,230.72473907470703,4.445055789727291,14.12002439461434,0.14814814814814814,1.0,0.8333333333333334,0.008815765380859375,2.010584085160313,0.9069242451595718,0.9157524308495638,0.9861508039916667,0.9723689707630058,227.48390579223633,15.845617794240903,3.9431641645391675,0.4784877598285675,0.8681652405413575,0.8429178061110918,-0.02900148762945609,0.00963493545940719,0.6868629455566406,0.3194580078125,1.5110591993606968,0.008815765380859375,10,0.9663280299356513,1,0.12205758690834045,0.1740441918373108,4,11.67236614227295,72,0.14455032348632812
X_opencv_S107_R042,internal_opencv,1,0.49803022591569446,1.5727424621582031,15.951190948486328,49.11878545490429,227.02195358276367,15.819892290080386,28.381197192886376,0.1851851851851852,0.9955863952636719,0.9444444444444444,0.01001739501953125,2.0249493151854763,2.4068250447110753,0.8918802679467922,0.9840885917179365,0.9804227008396478,222.38636016845703,30.754506512502424,6.506053284134526,0.629371702671051,0.8597425309058817,0.9229262015789903,-0.1505935669126922,-0.21446727008194888,0.6649932861328125,0.29398345947265625,1.0306366897351524,0.01001739501953125,8,0.965319907205546,1,0.10972216725349426,0.1713344305753708,8,11.59814739227295,87,0.11754989624023438
X_opencv_S107_R043,internal_opencv,1,0.4506674980050237,4.240161895751953,12.01126480102539,40.65374066618985,225.7530517578125,20.985183716924265,31.508449561982,0.14814814814814814,0.9873466491699219,0.8333333333333334,0.009189605712890625,2.0174694881779707,3.9209636947526234,0.9091407392640956,0.9847538931298374,0.9727307032689234,222.12801361083984,33.47975766225541,8.317194689131137,0.557346522808075,0.8643422250550258,0.8574862131814467,-0.05969869234569203,-0.03735103873022361,0.6632957458496094,0.32892608642578125,0.8202520905990663,0.009189605712890625,12,0.8733782972081352,1,0.14666695892810822,0.20067206025123596,4,11.69921875,47,0.15581512451171875
X_opencv_S107_R044,internal_opencv,1,0.6514254612821885,13.017959594726562,20.01986312866211,57.49483186708295,215.6529541015625,46.07952976624082,54.73016994791746,0.2962962962962963,0.9473800659179688,0.9444444444444444,0.010173797607421875,2.0351198200671075,7.493209255269829,0.8755346408203584,0.9829424272684633,0.9812183207375673,212.1874122619629,55.86569455971988,11.986550964082472,0.7033305168151855,0.784527338913327,0.9228785717079764,-0.19139634399973082,-0.16769635475264377,0.6459197998046875,0.370147705078125,1.020006676333078,0.010173797607421875,10,0.7950797822511136,1,0.147908017039299,0.18014438450336456,5,11.80190658569336,56,0.158172607421875
