renderer,descriptor,target,is_predeclared_nominal_pair,n_images,n_seed_clusters,rho,cluster_ci_lower,cluster_ci_upper
internal_OpenCV,hasler_susstrunk_colourfulness,visual_salience_index,False,1250,10,-0.9523148865318506,-0.9541627331064682,-0.9509740322320414
internal_OpenCV,hasler_susstrunk_colourfulness,focal_hierarchy_index,False,1250,10,0.22470254376519472,0.21708065079483174,0.23593265184866236
internal_OpenCV,global_luminance_cv,structural_clutter_index,False,1250,10,0.001584918350344381,-0.004381656267595785,0.0076377625973999014
internal_OpenCV,global_luminance_cv,geometric_order_index,False,1250,10,0.010448546790351433,0.005165689467212026,0.015404530537244028
internal_OpenCV,global_luminance_cv,palette_coherence_index,False,1250,10,-0.0029582007191887704,-0.07486107379304358,0.06700712509122493
internal_OpenCV,global_luminance_cv,visual_salience_index,True,1250,10,0.8559389959046286,0.8351625963744039,0.8889439199303142
internal_OpenCV,global_luminance_cv,focal_hierarchy_index,False,1250,10,0.3424301534148603,0.3121436885995605,0.3906138438183791
internal_OpenCV,horizontal_mirror_similarity,structural_clutter_index,False,1250,10,-0.016612640710780814,-0.026965582305955617,-0.007167813570732948
internal_OpenCV,horizontal_mirror_similarity,geometric_order_index,True,1250,10,0.6401408401018039,0.6116419287649754,0.6704700405932933
internal_OpenCV,horizontal_mirror_similarity,palette_coherence_index,False,1250,10,0.029213603816684013,-0.005524730621709052,0.06771720381901751
internal_OpenCV,horizontal_mirror_similarity,visual_salience_index,False,1250,10,-0.40427959325278007,-0.4573858796807577,-0.3559053546107027
internal_OpenCV,horizontal_mirror_similarity,focal_hierarchy_index,False,1250,10,-0.5070845146957909,-0.5234632710696747,-0.4949815826764609
internal_OpenCV,saliency_mean,structural_clutter_index,False,1250,10,-0.014322269088769796,-0.0539963074705431,0.017837210650169792
internal_OpenCV,saliency_mean,geometric_order_index,False,1250,10,-0.21685476803638762,-0.22879631752326393,-0.20634638280557346
internal_OpenCV,saliency_mean,palette_coherence_index,False,1250,10,0.14905130258560143,0.1206327601806072,0.17973362942472948
internal_OpenCV,saliency_mean,visual_salience_index,False,1250,10,0.47269288386507363,0.4408174073166873,0.5020879708386784
internal_OpenCV,saliency_mean,focal_hierarchy_index,True,1250,10,0.12039422301656555,0.08081234574049741,0.16311234838441
internal_OpenCV,saliency_std,structural_clutter_index,False,1250,10,-0.024429062960847174,-0.07042770406680966,0.010543869615959822
internal_OpenCV,saliency_std,geometric_order_index,False,1250,10,-0.3418077868618567,-0.3637001874736355,-0.3183549925715296
internal_OpenCV,saliency_std,palette_coherence_index,False,1250,10,0.08364167523667072,0.05511651293872319,0.11372182370814318
internal_OpenCV,saliency_std,visual_salience_index,False,1250,10,0.3782687472894626,0.34951573357912463,0.40774508269956516
internal_OpenCV,saliency_std,focal_hierarchy_index,True,1250,10,0.2650623092742116,0.2382432099343789,0.29412664218551676
internal_OpenCV,fg_bg_ratio,structural_clutter_index,False,1250,10,0.007312415438729049,-0.023550625302170405,0.037162913364806954
internal_OpenCV,fg_bg_ratio,geometric_order_index,False,1250,10,-0.070506922620765,-0.09922685062615531,-0.0454635207057258
internal_OpenCV,fg_bg_ratio,palette_coherence_index,False,1250,10,0.19002952480311683,0.16932475463186902,0.2125710922192168
internal_OpenCV,fg_bg_ratio,visual_salience_index,False,1250,10,0.45327334524933444,0.40204676652225857,0.5072786021280482
internal_OpenCV,fg_bg_ratio,focal_hierarchy_index,True,1250,10,-0.09179436805811128,-0.13685090340731298,-0.04912752692229892
internal_OpenCV,rule_of_thirds,structural_clutter_index,False,1250,10,0.0059022923729442085,-0.019783245325347098,0.03362587327723522
internal_OpenCV,rule_of_thirds,geometric_order_index,True,1250,10,0.1817435748685705,0.16619252004802995,0.19910144852752604
internal_OpenCV,rule_of_thirds,palette_coherence_index,False,1250,10,-0.00091708925316663,-0.02110110771281264,0.020000991263532206
internal_OpenCV,rule_of_thirds,visual_salience_index,False,1250,10,-0.19673053770664398,-0.22442167353161893,-0.16775956792358002
internal_OpenCV,rule_of_thirds,focal_hierarchy_index,False,1250,10,0.839381223781644,0.8279213132605869,0.8503860333404929
internal_OpenCV,center_offset_x,structural_clutter_index,False,1250,10,0.0064494105769701115,-0.011526574042151712,0.02431471703806035
internal_OpenCV,center_offset_x,geometric_order_index,True,1250,10,-0.18998013373376277,-0.21375314055273362,-0.16343791346151643
internal_OpenCV,center_offset_x,palette_coherence_index,False,1250,10,0.010984691276818078,-0.012395722714204346,0.03286279468160731
internal_OpenCV,center_offset_x,visual_salience_index,False,1250,10,0.18229382842047048,0.1582095945611391,0.20813768277026112
internal_OpenCV,center_offset_x,focal_hierarchy_index,False,1250,10,-0.7865255293205056,-0.8069613507655485,-0.7642995733013092
internal_OpenCV,center_offset_y,structural_clutter_index,False,1250,10,-0.019354502426658485,-0.059281334161409155,0.013641558903664116
internal_OpenCV,center_offset_y,geometric_order_index,True,1250,10,-0.17482699745836336,-0.19024044263591378,-0.16006572197731236
internal_OpenCV,center_offset_y,palette_coherence_index,False,1250,10,-0.03301834846187276,-0.060565256058039564,-0.004761539947838553
internal_OpenCV,center_offset_y,visual_salience_index,False,1250,10,0.18128738175289275,0.14311464637552307,0.2168860557502158
internal_OpenCV,center_offset_y,focal_hierarchy_index,False,1250,10,-0.8136227733221896,-0.8275123042836433,-0.8012667806030436
